PC1,PC2,action
-0.26712593,-0.119360745,2
-0.26412567,-0.12369129,0
-0.2658475,-0.12480326,2
-0.2634689,-0.12677237,0
-0.26513782,-0.12793793,2
-0.26096138,-0.13045353,1
-0.2626756,-0.13110375,3
-0.26432592,-0.13293555,2
-0.2597448,-0.13615748,1
-0.26139313,-0.13689592,2
-0.2584201,-0.14048442,3
-0.26010713,-0.14210588,2
-0.25649354,-0.14408696,1
-0.25817543,-0.14471933,2
-0.2570304,-0.14667475,2
-0.2546393,-0.15118653,3
-0.25624126,-0.15290973,2
-0.25176856,-0.15747225,1
-0.2534523,-0.15818837,3
-0.25506023,-0.16016716,2
-0.25234395,-0.16509885,2
-0.25145394,-0.16666904,2
-0.24803762,-0.17016882,1
-0.24968933,-0.17106009,3
-0.25127882,-0.1731524,2
-0.24654496,-0.17837614,2
-0.24595362,-0.18152449,2
-0.24290124,-0.18378887,0
-0.24462408,-0.18497461,2
-0.24134423,-0.18843907,0
-0.24306743,-0.1896169,2
-0.24135564,-0.19308828,0
-0.24299763,-0.19453633,2
-0.23851547,-0.19814596,0
-0.24021575,-0.19937992,2
-0.23901992,-0.20159271,2
-0.23784314,-0.20347466,2
-0.23544937,-0.2051775,1
-0.23716837,-0.20589425,3
-0.23875304,-0.20785476,2
-0.2362441,-0.21112263,2
-0.23211466,-0.21471576,1
-0.23381446,-0.21552224,3
-0.23538195,-0.21757112,2
-0.23267382,-0.22157457,2
-0.23147006,-0.22324818,2
-0.22955416,-0.22560832,2
-0.22899981,-0.2276062,2
-0.22722234,-0.2313156,2
-0.22506888,-0.2329047,1
-0.22676066,-0.23356844,2
-0.22453637,-0.23828414,0
-0.22622198,-0.23977569,2
-0.22283125,-0.24294911,0
-0.22451746,-0.24437441,2
-0.22283933,-0.24869126,2
-0.22105797,-0.25268936,3
-0.2226799,-0.25469768,2
-0.21936178,-0.25947788,2
-0.21470048,-0.263535,1
-0.21650001,-0.26413068,3
-0.21824262,-0.26592264,2
-0.2157568,-0.27021086,0
-0.21742052,-0.2717725,2
-0.2142359,-0.27499872,0
-0.21588954,-0.2765387,2
-0.21254966,-0.28062496,0
-0.21420562,-0.28218228,2
-0.21063891,-0.28613168,0
-0.2123087,-0.28765646,2
-0.2100228,-0.290173,2
-0.20680237,-0.29472467,0
-0.20854956,-0.29606214,2
-0.2060871,-0.30030307,3
-0.20778745,-0.3021595,2
-0.20312491,-0.3047316,1
-0.20482846,-0.30544463,2
-0.202724,-0.3098455,0
-0.2044402,-0.31128913,2
-0.20109433,-0.31501606,3
-0.20280764,-0.3166965,2
-0.20213802,-0.31776756,2
-0.20091124,-0.3209408,2
-0.19781561,-0.3253849,0
-0.19949622,-0.3266856,2
-0.19628443,-0.32885826,2
-0.19515721,-0.33069167,2
-0.19064257,-0.33401442,0
-0.19254023,-0.33459216,0
-0.19430631,-0.33552733,2
-0.1897427,-0.3376522,0
-0.1915771,-0.33828628,2
-0.18960187,-0.339072,1
-0.19136322,-0.33951345,2
-0.1874015,-0.34267002,0
-0.1892573,-0.34342864,0
-0.19098154,-0.34454453,2
-0.18909124,-0.34709555,2
-0.18696775,-0.348579,0
-0.18868674,-0.34959784,2
-0.18705496,-0.35178193,2
-0.18536459,-0.35385433,2
-0.18354477,-0.35499477,2
-0.18159977,-0.35851046,0
-0.18340707,-0.35925063,2
-0.18231937,-0.36145487,2
-0.18083817,-0.36225486,2
-0.17646079,-0.36577752,0
-0.17839491,-0.36610562,0
-0.18019745,-0.36679107,2
-0.17616564,-0.3692079,1
-0.17809105,-0.36934283,3
-0.17981128,-0.37086564,2
-0.17521748,-0.3733625,1
-0.17707054,-0.37358385,2
-0.17256252,-0.3785491,0
-0.17447737,-0.37928355,3
-0.17617936,-0.3807397,2
-0.1731176,-0.38380328,2
-0.16975278,-0.38591582,1
-0.17168576,-0.38601318,0
-0.17346528,-0.38703454,2
-0.1692141,-0.39211777,0
-0.1710597,-0.39309067,0
-0.17277373,-0.39442086,2
-0.17220041,-0.39806676,2
-0.16853201,-0.40014923,3
0.48828596,-0.15854858,1
0.48823076,-0.16235858,3
1.1497482,0.07622439,0
1.1528094,0.07227248,0
1.1556473,0.068718195,3
1.1583326,0.065265596,0
1.1605458,0.063685834,0
1.1625829,0.0626134,0
1.1644981,0.06192261,0
1.1661173,0.061406076,0
1.1673717,0.061066568,0
1.1683569,0.061452,0
1.1689264,0.062173843,0
1.1690041,0.063013434,0
1.168606,0.06391138,0
1.167829,0.0648613,0
1.165867,0.0678553,0
1.1645508,0.068997085,0
1.163389,0.06969747,0
1.1626945,0.07023302,0
1.1624888,0.070705295,0
1.1625847,0.07099864,0
1.1628789,0.07120481,0
1.1633244,0.0715349,0
1.163772,0.07202768,0
1.1641097,0.072671175,0
1.1642783,0.0734199,0
