vel_y_space,angle,action
5.757575757575758,-5.775282828282829,[0]
5.9595959595959584,-5.775282828282829,[0]
6.161616161616163,-5.775282828282829,[0]
6.363636363636363,-5.775282828282829,[0]
6.565656565656564,-5.775282828282829,[0]
6.767676767676768,-5.775282828282829,[0]
6.969696969696969,-5.775282828282829,[0]
7.171717171717173,-5.775282828282829,[0]
7.373737373737374,-5.775282828282829,[0]
7.575757575757574,-5.775282828282829,[0]
7.777777777777779,-5.775282828282829,[0]
7.979797979797979,-5.775282828282829,[0]
8.18181818181818,-5.775282828282829,[0]
8.383838383838384,-5.775282828282829,[0]
8.585858585858585,-5.775282828282829,[0]
8.787878787878789,-5.775282828282829,[0]
8.98989898989899,-5.775282828282829,[0]
9.19191919191919,-5.775282828282829,[0]
9.393939393939394,-5.775282828282829,[0]
9.595959595959595,-5.775282828282829,[0]
9.7979797979798,-5.775282828282829,[0]
10.0,-5.775282828282829,[0]
-10.0,-5.648353535353536,[2]
-9.797979797979798,-5.648353535353536,[2]
-9.595959595959595,-5.648353535353536,[2]
-9.393939393939394,-5.648353535353536,[2]
-9.191919191919192,-5.648353535353536,[2]
-8.98989898989899,-5.648353535353536,[2]
-8.787878787878787,-5.648353535353536,[2]
-8.585858585858587,-5.648353535353536,[2]
-8.383838383838384,-5.648353535353536,[2]
-8.181818181818182,-5.648353535353536,[2]
-7.979797979797979,-5.648353535353536,[2]
-7.777777777777778,-5.648353535353536,[2]
-7.575757575757576,-5.648353535353536,[2]
-7.373737373737374,-5.648353535353536,[2]
-7.171717171717171,-5.648353535353536,[2]
-6.96969696969697,-5.648353535353536,[2]
-6.767676767676768,-5.648353535353536,[2]
-6.565656565656566,-5.648353535353536,[2]
-6.363636363636363,-5.648353535353536,[2]
-6.161616161616162,-5.648353535353536,[2]
-5.959595959595959,-5.648353535353536,[2]
-5.757575757575758,-5.648353535353536,[2]
-5.555555555555555,-5.648353535353536,[2]
-5.353535353535354,-5.648353535353536,[2]
-5.151515151515151,-5.648353535353536,[2]
-4.94949494949495,-5.648353535353536,[2]
-4.747474747474747,-5.648353535353536,[2]
-4.545454545454546,-5.648353535353536,[2]
-4.343434343434343,-5.648353535353536,[2]
-4.141414141414142,-5.648353535353536,[2]
