x_space,angular_vel,action
2.146464646464646,-9.797979797979798,[2]
2.1969696969696972,-9.797979797979798,[2]
2.2474747474747474,-9.797979797979798,[2]
2.2979797979797976,-9.797979797979798,[2]
2.3484848484848486,-9.797979797979798,[2]
2.398989898989899,-9.797979797979798,[2]
2.44949494949495,-9.797979797979798,[2]
2.5,-9.797979797979798,[2]
-2.5,-9.595959595959595,[1]
-2.4494949494949494,-9.595959595959595,[1]
-2.398989898989899,-9.595959595959595,[1]
-2.3484848484848486,-9.595959595959595,[1]
-2.297979797979798,-9.595959595959595,[1]
-2.2474747474747474,-9.595959595959595,[1]
-2.196969696969697,-9.595959595959595,[1]
-2.1464646464646466,-9.595959595959595,[1]
-2.095959595959596,-9.595959595959595,[1]
-2.0454545454545454,-9.595959595959595,[1]
-1.9949494949494948,-9.595959595959595,[1]
-1.9444444444444444,-9.595959595959595,[1]
-1.893939393939394,-9.595959595959595,[1]
-1.8434343434343434,-9.595959595959595,[1]
-1.7929292929292928,-9.595959595959595,[1]
-1.7424242424242424,-9.595959595959595,[1]
-1.691919191919192,-9.595959595959595,[1]
-1.6414141414141414,-9.595959595959595,[1]
-1.5909090909090908,-9.595959595959595,[1]
-1.5404040404040404,-9.595959595959595,[1]
-1.4898989898989898,-9.595959595959595,[1]
-1.4393939393939394,-9.595959595959595,[1]
-1.3888888888888888,-9.595959595959595,[1]
-1.3383838383838385,-9.595959595959595,[1]
-1.2878787878787878,-9.595959595959595,[1]
-1.2373737373737375,-9.595959595959595,[1]
-1.1868686868686869,-9.595959595959595,[1]
-1.1363636363636365,-9.595959595959595,[1]
-1.0858585858585859,-9.595959595959595,[1]
-1.0353535353535355,-9.595959595959595,[1]
-0.9848484848484849,-9.595959595959595,[1]
-0.9343434343434345,-9.595959595959595,[1]
-0.8838383838383839,-9.595959595959595,[1]
-0.8333333333333333,-9.595959595959595,[1]
-0.7828282828282829,-9.595959595959595,[1]
-0.7323232323232323,-9.595959595959595,[1]
-0.6818181818181819,-9.595959595959595,[1]
-0.6313131313131313,-9.595959595959595,[1]
-0.5808080808080809,-9.595959595959595,[1]
-0.5303030303030303,-9.595959595959595,[1]
-0.47979797979797967,-9.595959595959595,[1]
-0.4292929292929295,-9.595959595959595,[1]
-0.3787878787878789,-9.595959595959595,[1]
-0.3282828282828283,-9.595959595959595,[1]
-0.2777777777777777,-9.595959595959595,[1]
-0.22727272727272751,-9.595959595959595,[1]
-0.1767676767676769,-9.595959595959595,[1]
-0.1262626262626263,-9.595959595959595,[1]
-0.07575757575757569,-9.595959595959595,[1]
-0.025252525252525082,-9.595959595959595,[1]
0.025252525252525082,-9.595959595959595,[1]
0.07575757575757569,-9.595959595959595,[1]
0.1262626262626263,-9.595959595959595,[1]
0.1767676767676769,-9.595959595959595,[1]
0.22727272727272707,-9.595959595959595,[1]
0.2777777777777777,-9.595959595959595,[1]
0.3282828282828283,-9.595959595959595,[1]
0.3787878787878789,-9.595959595959595,[1]
0.42929292929292906,-9.595959595959595,[1]
0.47979797979797967,-9.595959595959595,[1]
0.5303030303030303,-9.595959595959595,[1]
0.5808080808080809,-9.595959595959595,[1]
0.631313131313131,-9.595959595959595,[1]
0.6818181818181817,-9.595959595959595,[1]
0.7323232323232323,-9.595959595959595,[1]
0.7828282828282829,-9.595959595959595,[1]
0.8333333333333335,-9.595959595959595,[1]
0.8838383838383836,-9.595959595959595,[1]
0.9343434343434343,-9.595959595959595,[1]
0.9848484848484849,-9.595959595959595,[1]
1.0353535353535355,-9.595959595959595,[1]
1.0858585858585856,-9.595959595959595,[1]
1.1363636363636362,-9.595959595959595,[1]
1.1868686868686869,-9.595959595959595,[1]
1.2373737373737375,-9.595959595959595,[1]
1.2878787878787876,-9.595959595959595,[1]
1.3383838383838382,-9.595959595959595,[1]
1.3888888888888888,-9.595959595959595,[2]
1.4393939393939394,-9.595959595959595,[2]
1.4898989898989896,-9.595959595959595,[2]
1.5404040404040407,-9.595959595959595,[2]
1.5909090909090908,-9.595959595959595,[2]
1.641414141414141,-9.595959595959595,[2]
1.691919191919192,-9.595959595959595,[2]
1.7424242424242422,-9.595959595959595,[2]
1.7929292929292933,-9.595959595959595,[2]
1.8434343434343434,-9.595959595959595,[2]
1.8939393939393936,-9.595959595959595,[2]
1.9444444444444446,-9.595959595959595,[2]
1.9949494949494948,-9.595959595959595,[2]
2.045454545454545,-9.595959595959595,[2]
2.095959595959596,-9.595959595959595,[2]
2.146464646464646,-9.595959595959595,[2]
2.1969696969696972,-9.595959595959595,[2]
2.2474747474747474,-9.595959595959595,[2]
2.2979797979797976,-9.595959595959595,[2]
2.3484848484848486,-9.595959595959595,[2]
2.398989898989899,-9.595959595959595,[2]
2.44949494949495,-9.595959595959595,[2]
2.5,-9.595959595959595,[2]
-2.5,-9.393939393939394,[1]
-2.4494949494949494,-9.393939393939394,[1]
-2.398989898989899,-9.393939393939394,[1]
-2.3484848484848486,-9.393939393939394,[1]
-2.297979797979798,-9.393939393939394,[1]
-2.2474747474747474,-9.393939393939394,[1]
-2.196969696969697,-9.393939393939394,[1]
-2.1464646464646466,-9.393939393939394,[1]
-2.095959595959596,-9.393939393939394,[1]
-2.0454545454545454,-9.393939393939394,[1]
-1.9949494949494948,-9.393939393939394,[1]
-1.9444444444444444,-9.393939393939394,[1]
-1.893939393939394,-9.393939393939394,[1]
-1.8434343434343434,-9.393939393939394,[1]
-1.7929292929292928,-9.393939393939394,[1]
-1.7424242424242424,-9.393939393939394,[1]
-1.691919191919192,-9.393939393939394,[1]
-1.6414141414141414,-9.393939393939394,[1]
-1.5909090909090908,-9.393939393939394,[1]
-1.5404040404040404,-9.393939393939394,[1]
-1.4898989898989898,-9.393939393939394,[1]
-1.4393939393939394,-9.393939393939394,[1]
-1.3888888888888888,-9.393939393939394,[1]
-1.3383838383838385,-9.393939393939394,[1]
-1.2878787878787878,-9.393939393939394,[1]
-1.2373737373737375,-9.393939393939394,[1]
-1.1868686868686869,-9.393939393939394,[1]
-1.1363636363636365,-9.393939393939394,[1]
-1.0858585858585859,-9.393939393939394,[1]
-1.0353535353535355,-9.393939393939394,[1]
-0.9848484848484849,-9.393939393939394,[1]
-0.9343434343434345,-9.393939393939394,[1]
-0.8838383838383839,-9.393939393939394,[1]
-0.8333333333333333,-9.393939393939394,[1]
-0.7828282828282829,-9.393939393939394,[1]
-0.7323232323232323,-9.393939393939394,[1]
-0.6818181818181819,-9.393939393939394,[1]
-0.6313131313131313,-9.393939393939394,[1]
-0.5808080808080809,-9.393939393939394,[1]
-0.5303030303030303,-9.393939393939394,[1]
-0.47979797979797967,-9.393939393939394,[1]
-0.4292929292929295,-9.393939393939394,[1]
-0.3787878787878789,-9.393939393939394,[1]
-0.3282828282828283,-9.393939393939394,[1]
-0.2777777777777777,-9.393939393939394,[1]
-0.22727272727272751,-9.393939393939394,[1]
-0.1767676767676769,-9.393939393939394,[1]
-0.1262626262626263,-9.393939393939394,[1]
-0.07575757575757569,-9.393939393939394,[1]
-0.025252525252525082,-9.393939393939394,[1]
0.025252525252525082,-9.393939393939394,[1]
0.07575757575757569,-9.393939393939394,[1]
0.1262626262626263,-9.393939393939394,[1]
0.1767676767676769,-9.393939393939394,[1]
0.22727272727272707,-9.393939393939394,[1]
0.2777777777777777,-9.393939393939394,[1]
0.3282828282828283,-9.393939393939394,[1]
0.3787878787878789,-9.393939393939394,[1]
0.42929292929292906,-9.393939393939394,[1]
0.47979797979797967,-9.393939393939394,[1]
0.5303030303030303,-9.393939393939394,[1]
0.5808080808080809,-9.393939393939394,[1]
0.631313131313131,-9.393939393939394,[1]
0.6818181818181817,-9.393939393939394,[1]
0.7323232323232323,-9.393939393939394,[1]
0.7828282828282829,-9.393939393939394,[1]
0.8333333333333335,-9.393939393939394,[1]
0.8838383838383836,-9.393939393939394,[1]
0.9343434343434343,-9.393939393939394,[1]
0.9848484848484849,-9.393939393939394,[1]
1.0353535353535355,-9.393939393939394,[1]
1.0858585858585856,-9.393939393939394,[1]
1.1363636363636362,-9.393939393939394,[1]
1.1868686868686869,-9.393939393939394,[1]
1.2373737373737375,-9.393939393939394,[1]
1.2878787878787876,-9.393939393939394,[1]
1.3383838383838382,-9.393939393939394,[2]
1.3888888888888888,-9.393939393939394,[2]
1.4393939393939394,-9.393939393939394,[2]
1.4898989898989896,-9.393939393939394,[2]
1.5404040404040407,-9.393939393939394,[2]
1.5909090909090908,-9.393939393939394,[2]
1.641414141414141,-9.393939393939394,[2]
1.691919191919192,-9.393939393939394,[2]
1.7424242424242422,-9.393939393939394,[2]
1.7929292929292933,-9.393939393939394,[2]
1.8434343434343434,-9.393939393939394,[2]
1.8939393939393936,-9.393939393939394,[2]
1.9444444444444446,-9.393939393939394,[2]
1.9949494949494948,-9.393939393939394,[2]
2.045454545454545,-9.393939393939394,[2]
2.095959595959596,-9.393939393939394,[2]
2.146464646464646,-9.393939393939394,[2]
2.1969696969696972,-9.393939393939394,[2]
2.2474747474747474,-9.393939393939394,[2]
2.2979797979797976,-9.393939393939394,[2]
2.3484848484848486,-9.393939393939394,[2]
2.398989898989899,-9.393939393939394,[2]
2.44949494949495,-9.393939393939394,[2]
2.5,-9.393939393939394,[2]
-2.5,-9.191919191919192,[1]
-2.4494949494949494,-9.191919191919192,[1]
-2.398989898989899,-9.191919191919192,[1]
-2.3484848484848486,-9.191919191919192,[1]
-2.297979797979798,-9.191919191919192,[1]
-2.2474747474747474,-9.191919191919192,[1]
-2.196969696969697,-9.191919191919192,[1]
-2.1464646464646466,-9.191919191919192,[1]
-2.095959595959596,-9.191919191919192,[1]
-2.0454545454545454,-9.191919191919192,[1]
-1.9949494949494948,-9.191919191919192,[1]
