PC1,PC2,action
-0.4234865,0.20491527,2
-0.42001453,0.19690806,3
-0.42068473,0.187948,2
-0.41654703,0.18012078,2
-0.41126797,0.17265064,3
-0.4117986,0.16415574,2
-0.40702248,0.15662163,2
-0.40378636,0.14863466,2
-0.39859214,0.14160949,3
-0.39909405,0.13336264,2
-0.39191967,0.12678257,3
-0.3925888,0.11898621,2
-0.38918275,0.11229243,2
-0.3855167,0.105797924,3
-0.38621628,0.09821365,2
-0.37890473,0.091317646,3
-0.37958902,0.083864994,2
-0.37382331,0.07706742,2
-0.369081,0.070452765,2
-0.36088803,0.06451407,3
-0.36187854,0.057858247,3
-0.36263463,0.050825853,2
-0.35716337,0.045209073,2
-0.35006103,0.039963078,3
-0.35100174,0.0337154,2
-0.34745595,0.028179305,2
-0.34147614,0.022665033,2
-0.33522815,0.01755799,0
-0.33666798,0.012352352,2
-0.32997602,0.0071971253,0
-0.33144808,0.00203167,0
-0.3327806,-0.0034910927,2
-0.32628056,-0.008708555,0
-0.32763833,-0.014154542,2
-0.3203113,-0.018814491,0
-0.321735,-0.024002532,0
-0.32301918,-0.029547613,2
-0.3192722,-0.035306238,2
-0.3140757,-0.04031661,0
-0.31538785,-0.04576075,2
-0.3118758,-0.051259752,0
-0.31309298,-0.05694765,2
-0.3101315,-0.06301557,2
-0.30668864,-0.06896126,2
-0.3040803,-0.07475892,2
-0.2983988,-0.08064903,0
-0.29965547,-0.086372085,2
-0.29710665,-0.091944635,2
-0.2932022,-0.098001555,2
-0.28993028,-0.10367732,0
-0.29114357,-0.109514505,2
-0.28634048,-0.115649,2
-0.28232598,-0.12095176,0
-0.2835567,-0.12670793,2
-0.2770999,-0.13199699,1
-0.27841353,-0.13717057,2
-0.270928,-0.14248563,0
-0.2722431,-0.14798598,2
-0.26483607,-0.15373501,0
-0.26620257,-0.15915397,0
-0.26742956,-0.16493036,2
-0.2617735,-0.17040767,0
-0.26299125,-0.17614254,2
-0.2571573,-0.18186913,1
-0.25846156,-0.18720964,2
-0.25397015,-0.19316375,2
-0.2467314,-0.19881514,0
-0.24806283,-0.20433283,2
-0.24136613,-0.20973225,0
-0.24272929,-0.21513814,2
-0.23618507,-0.22064865,0
