#{"t_start": 1736441212.7752347, "env_id": "LunarLander-v3"}
r,l,t
-280.869311,97,9.401039
-127.480591,57,9.471005
-150.26746,76,9.510042
-158.320077,76,9.548038
-157.423616,74,9.585961
-139.499585,55,9.613961
-29.825237,157,9.717962
-128.899602,87,10.635415
-68.892707,101,10.706415
-92.449766,85,10.768414
-205.444413,142,10.865421
-165.40815,103,10.929416
-44.603073,62,10.981417
-109.567435,114,11.06685
-101.76761,76,11.117578
-94.621396,80,11.167585
-33.821978,144,11.25566
-61.563923,131,11.330579
-64.182484,93,11.383537
-102.96533,93,11.440747
-45.265594,88,11.493742
-64.513007,112,11.560743
-128.043022,100,11.621743
-36.176311,111,11.689743
-75.7741,100,11.750744
-94.692291,113,11.820747
-112.609761,81,11.871741
-64.917757,109,11.938741
-105.736552,87,13.076443
-38.33031,138,13.182543
-115.81907,90,13.237517
-83.890999,87,13.285521
-122.577285,135,13.361527
-154.014865,116,13.426528
-71.684122,104,13.48352
-119.257954,113,13.550441
-128.841031,97,13.614513
-34.27164,139,13.71452
-110.466498,107,13.796513
-122.312682,112,13.87352
-49.753709,86,13.929517
-106.698944,130,14.012524
-69.931291,132,14.101518
-76.561669,145,14.206541
-141.025155,112,14.285521
-314.694197,124,14.380448
-47.503569,125,15.486432
-64.708919,80,15.54943
-38.654613,87,15.618428
-68.448095,167,15.749429
-95.622186,122,15.838429
-79.236386,131,15.924437
-60.478197,89,15.986432
-63.350508,73,16.041429
-103.438858,103,16.117437
-75.521497,83,16.173438
-46.321908,81,16.225431
-94.619265,94,16.286528
-132.654031,118,16.358505
-90.145347,139,16.453321
-87.40408,102,16.518243
-35.56615,143,16.609245
-44.161805,136,16.69726
-63.159681,76,16.744259
-63.186847,146,17.626058
-73.034954,136,17.710058
-68.383981,147,17.804059
-82.377447,100,17.865795
-63.420424,181,17.977717
-116.972578,195,18.094795
-67.728902,173,18.204728
-156.447635,209,18.341921
-40.360007,120,18.416922
-250.477853,140,18.50392
-70.342951,145,18.596121
-14.63458,156,18.709121
-38.148298,109,18.779122
-54.251367,174,18.894197
-60.949727,143,19.831578
-55.769214,186,19.936578
-84.225327,139,20.012579
-101.512611,190,20.12158
-31.969093,160,20.213584
-86.982731,111,20.275673
-66.791436,149,20.361674
-78.945948,106,20.420595
-46.866464,254,20.573597
-1895.4673,282,20.854589
-1831.686245,265,21.012589
-5266.825551,481,21.37559
-750.848227,203,21.496595
-1151.468139,216,21.625589
-200.055791,131,21.70403
-81.660374,193,21.816037
-49.313941,136,21.89103
35.146834,104,22.792951
-33.210916,221,22.929942
7.05668,174,23.030937
14.658706,161,23.124943
-37.476634,1000,24.331576
-21.917047,245,24.477579
-41.388443,189,25.374969
-43.832382,1000,26.692281
-88.95738,222,26.824202
-213.877844,344,27.072282
-202.615445,281,27.243281
-37.68726,179,28.1027
23.317266,167,28.196701
26.204701,1000,29.431488
86.446911,1000,31.341964
18.694877,195,31.462959
-138.053789,258,31.621042
-303.08835,251,31.796984
-50.253933,226,31.954982
-113.019283,312,32.180993
7.105703,1000,34.293964
-64.886417,218,34.419971
-51.374949,248,34.580547
-41.896468,183,34.692538
-11.240078,146,34.773538
-0.413199,210,34.898543
-429.744319,982,36.135386
-259.44514,514,36.609864
-262.500852,463,36.978552
-315.669358,1000,38.021885
-389.827489,858,38.902802
7.840333,292,39.107803
-48.409773,182,39.215808
-191.171874,256,40.181572
-186.540182,182,40.290565
42.641985,187,40.400564
85.979764,1000,41.391765
36.058925,1000,43.511051
58.679779,1000,44.673095
-5.66568,1000,46.502917
-13.480078,237,46.664933
93.109506,1000,47.685913
55.990415,1000,49.434398
62.802265,1000,50.586221
-174.318265,469,50.925223
98.551425,1000,52.804957
-235.955892,675,53.595205
-181.706383,1000,54.829203
-188.116334,517,55.26913
-194.647527,1000,56.788769
-211.449438,1000,57.784686
-46.776839,226,57.930686
84.644797,1000,59.906645
-8.894587,1000,61.010362
29.053798,1000,63.003897
119.993738,1000,63.937386
54.002874,1000,65.791666
58.077671,1000,66.803302
106.75176,1000,68.629634
-36.554454,361,68.892628
67.420409,1000,70.058374
124.755,1000,71.793337
-60.007582,1000,72.902338
-69.292896,1000,74.517815
-89.273264,1000,75.71562
-53.575739,1000,76.916381
-75.33512,1000,78.051156
-15.366776,286,78.24426
